▶  핵심 가치 (Our Values),
🇰🇷  한국어 (Korean),🇺🇸  English
Value 1,Value 1
Dual Specialist Insight,Dual Specialist Insight
"재활의학과 및 신경외과를 모두 전공한 의학박사(MD, PhD)의 통합적인 시각으로 질환의 근본 원인을 찾아냅니다.","As a dual-trained MD & PhD in both Physical Medicine & Rehabilitation and Neurosurgery, our physician identifies the true root cause of each condition through an integrated, multi-disciplinary lens."
Global Standard,Global Standard
"북미(캐나다, 미국), 유럽(독일, 스페인), 아시아(일본) 등 세계 유수 학회와 의료 현장에서 검증된 선진 치료 시스템을 도입하여 적용합니다.","We adopt advanced, evidence-based treatment systems validated by world-leading medical institutions across North America (Canada & USA), Europe (Germany & Spain), and Asia (Japan)."
"Dedicated Primary Physician
(일관된 주치의 시스템)","Dedicated Primary Physician
(Consistent Personal Physician System)"
"우리는 다수의 의료진을 내세우지 않습니다. 검증된 실력을 갖춘 대표원장 1인이 진단부터 치료의 끝까지 전 과정을 책임집니다. 의료진 교체 없이 치료의 연속성이 보장되며, 환자 상태의 미세한 변화까지 놓치지 않는 일관되고 깊이 있는 '주치의 케어'를 제공합니다.","We believe in quality over quantity. Our board-certified chief physician personally oversees every stage of your care — from initial diagnosis through the final stage of recovery. With no physician handoffs, you receive consistent, deeply attentive care that tracks even the subtlest changes in your condition."
Value 2,Value 2
Beyond Pain,Beyond Pain
"눈에 보이는 통증만 쫓지 않습니다. 통증의 원인이 되는 근육, 신경, 그리고 신체 전반의 기능적 움직임까지 포괄적으로 분석하여 재발을 막는 근본 치료를 시행합니다.","We don't simply chase pain — we investigate it. By comprehensively analyzing the muscles, nerves, and functional movement patterns underlying each patient's condition, we target the root cause to prevent recurrence."
Personalized Care,Personalized Care
"획일화된 치료가 아닌, 환자 개개인의 상태와 라이프스타일을 고려한 '최적의 맞춤 치료 계획'을 수립합니다.","Every treatment plan is individually tailored to each patient's unique medical condition, lifestyle, and goals."
Value 3,Value 3
Safety & Cleanliness,Safety & Cleanliness
"환자의 '안정'과 철저한 '청결'을 제1원칙으로 삼는 쾌적한 치유 공간을 제공합니다.
※ 3년 연속 중구보건소 지정 우리동네안심병원으로 지정.","Patient safety and rigorous hygiene standards are our foremost priorities. We maintain a clean, comfortable healing environment.
※ Designated 'Neighborhood Safe Hospital' by Jung-gu Public Health Center for three consecutive years."
Advanced Technology,Advanced Technology
대학병원급 최신 첨단 장비를 아낌없이 투자하여 진단의 정확도와 치료 효과를 극대화합니다.,"We invest in university hospital-grade, state-of-the-art equipment to maximize diagnostic accuracy and treatment efficacy."
Transparent Policy,Transparent Policy
"과잉 진료를 지양하고, 모든 치료 비용을 투명하게 공개하는 정직한 가격 정책으로 신뢰를 드립니다.",We strictly avoid over-treatment and maintain full price transparency across all services — because trust starts with honesty.
Value 4,Value 4
Clear Explanation,Clear Explanation
"어려운 의학 용어가 아닌 환자의 눈높이에서, 현재 상태와 통증의 원인을 상세하고 명확하게 설명해 드립니다.","We explain your condition and the underlying cause of your pain in plain, patient-friendly language — clearly and without jargon."
Shared Decision Making,Shared Decision Making
"일방적인 치료 결정이 아닌, 가능한 다양한 치료 옵션의 장단점을 투명하게 제공하고 환자와 함께 최선의 방법을 고민합니다.",Treatment decisions are never one-sided. We openly present the pros and cons of all available options and collaborate with each patient to determine the best path forward.
Treatment Roadmap,Treatment Roadmap
"단순히 현재의 치료를 넘어, 앞으로 나아갈 장기적인 치료 방향성과 목표를 공유하여 치료 과정의 막연한 불안감을 해소합니다.","Beyond treating today's symptoms, we share a clear long-term treatment roadmap and goals — so you always know where you are on your journey to recovery."
