▶  진단 장비 (Diagnostics),
🇰🇷  한국어 (Korean),🇺🇸  English
섹션 소개,Section Introduction
정확한 진단이 완치의 시작입니다,Accurate Diagnosis Is the First Step to a Complete Recovery
"통증의 근본 원인을 찾아내는 것, 그것이 진정한 치료의 첫걸음입니다.",Identifying the root cause of pain is the true beginning of effective treatment.
"최첨단 장비로 정밀하게 분석합니다
서울본재활의학과는 첨단 진단 장비에 아낌없이 투자합니다.","Precision Analysis with State-of-the-Art Equipment
Seoul Bon Rehabilitation Medicine Clinic invests unreservedly in cutting-edge diagnostic technology."
장비 1 — 고해상도 디지털 X-ray,Equipment 1 — High-Resolution Digital X-ray
"고해상도 디지털 X-ray
High-Resolution Digital X-ray",High-Resolution Digital X-ray
"""뼈와 관절 상태를 확인하는 가장 기초적이고 필수적인 검사""","""The essential first-line imaging study for evaluating bone and joint integrity"""
"기존 필름 방식 대비 방사선 피폭량을 현저히 줄여 안전성을 높인 최신 디지털 X-ray 장비입니다. 촬영 즉시 고해상도의 선명한 영상을 획득하여 골절, 관절염, 척추 변형 등 골격계의 구조적인 이상 유무를 신속하고 정확하게 평가합니다.","Our latest-generation digital X-ray system significantly reduces radiation exposure compared to conventional film-based methods. High-resolution images are captured instantly, enabling rapid and accurate assessment of skeletal abnormalities including fractures, arthritis, and spinal deformities."
장비 2 — 프리미엄 초음파 진단기 (3대),Equipment 2 — Premium Musculoskeletal Ultrasound (3 Units)
"프리미엄 초음파 진단기
Premium Musculoskeletal Ultrasound (3 Units)",Premium Musculoskeletal Ultrasound (3 Units)
"""진료실에서 대기 없이 즉시 확인하는 '의사의 제2의 눈'""","""The physician's second set of eyes — immediate bedside assessment, no waiting required"""
"X-ray로는 확인이 어려운 근육, 힘줄, 인대, 신경 등 연부 조직의 손상과 염증을 정밀하게 관찰합니다. 저희 병원은 하이엔드급 초음파 장비를 총 3대 보유하여 각 진료실에 배치했습니다. 환자분들은 별도의 검사실 이동이나 대기 시간 없이, 진료 상담 도중 즉각적으로 아픈 부위를 초음파로 확인하고 설명을 들으실 수 있습니다.","Our high-end ultrasound units provide real-time, detailed visualization of soft tissue structures — including muscles, tendons, ligaments, and nerves — that are beyond the scope of standard X-ray imaging. With three units deployed across all consultation rooms, patients receive immediate in-room ultrasound assessment during their appointment, with no transfer to a separate examination room required."
장비 3 — C-arm (이동형 실시간 투시 영상 장비),Equipment 3 — C-arm Fluoroscopy with SELD Technology
"C-arm (이동형 실시간 투시 영상 장비)
C-arm Fluoroscopy with SELD Technology",C-arm Fluoroscopy with SELD Technology
"""정확도는 높이고 피폭은 최소화한, 안전한 비수술 치료의 핵심""","""The cornerstone of safe, non-surgical intervention — maximum precision, minimum radiation"""
"마치 우리 몸속을 실시간 동영상으로 보는 것과 같은 투시 장비입니다. 척추나 관절의 깊숙한 부위에 주사 치료나 시술을 시행할 때, 네비게이션처럼 바늘의 위치를 실시간으로 정확하게 안내하여 오차 없는 정밀한 치료를 가능하게 합니다.","This real-time fluoroscopic imaging system provides live, video-like visualization of internal structures. During spinal and deep joint procedures, it functions as a precision navigation system — guiding the needle to the exact target site with zero margin for error."
"안전 플러스: 최신 방사선 피폭 저감 장치인 SELD가 탑재되어 있어, 의료진과 환자분이 받는 불필요한 방사선 노출량을 획기적으로 줄여 더욱 안심하고 치료받으실 수 있습니다.","Safety Plus: Equipped with SELD (Scattered-radiation Exposure Limiting Device), our C-arm system dramatically reduces unnecessary radiation exposure for both patients and medical staff, ensuring a safer procedural environment."
장비 4 — 신경전도 및 근전도 검사 기기 (NCS/EMG),Equipment 4 — Nerve Conduction Study & Electromyography (NCS/EMG)
"최신 신경전도 및 근전도 검사 기기 (NCS/EMG)
Nerve Conduction Study & Electromyography",Nerve Conduction Study & Electromyography (NCS/EMG)
"""눈에 보이지 않는 신경과 근육의 기능적 이상을 찾아내는 정밀 검사""","""Precision electrodiagnostic testing to detect functional abnormalities invisible to conventional imaging"""
"영상 검사(MRI, X-ray)만으로는 알 수 없는 신경의 기능적 상태를 전기적 신호를 통해 평가합니다. 손발 저림, 감각 이상, 근력 약화 등이 있을 때, 이것이 신경의 문제인지 근육 자체의 문제인지, 신경 손상이라면 그 위치와 심각도는 어느 정도인지를 명확하게 감별 진단합니다.","NCS/EMG evaluates the functional integrity of the nervous system through electrical signals — revealing information that MRI and X-ray alone cannot provide. When patients present with numbness, tingling, sensory disturbances, or muscle weakness, this test precisely differentiates neurogenic from myogenic origins, and defines the location and severity of nerve injury."
